"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"sub_9002000001328080LL",0,1.9389,0,2.02083,4.18513,0,3.12608,11.12982,1.33203,0,0.03309,0,0.11506,0,4.59967,0.00459,0,0,0
"sub_2009000001576810LL",0.01125,5.59818,0,3.29428,5.04392,0.00209,2.44011,8.26944,0.73368,0,0.03083,0,0.52546,0,0,0,0,0,0
"sub_2009000001589950LL",0.06088,6.75889,0,6.33083,5.44835,0,1.41226,8.22541,1.11068,0,1.44105,0,0.23901,0,0,0,3.13908,0,0
"sub_9002000001160621LL",0,9.89225,0,6.13284,0.06788,0,0.20504,3.74943,1.10396,0,0,0,0.06786,0,0,0,0.1251,0,0
"sub_9002000001161852LL",0.00469,2.11207,0,1.95705,4.91234,0,1.26045,14.54741,2.50586,0,0.14234,0,0.04435,0,0,0.45161,0,0,0
"sub_9002000001162644LL",0.01825,4.97615,0,3.69738,3.11643,0,0.65096,12.30545,1.84836,0,0,0,0.61403,0,0,0,0,0,0
"sub_9002000001166269LL",0.01089,8.33391,0,1.81018,1.44864,0,1.3659,20.31054,0.72377,0,0.0235,0,0.28262,0,3.31269,0,0,0,0.04865
"sub_9002000001166652LL",0.09861,8.24045,0,1.56185,2.35962,0,1.68732,4.59544,3.95828,0,0.06635,0,0.17796,0,0,0,0,0,0
"sub_9002000001167186LL",0.01315,12.11854,0,4.35534,2.90818,0,0.50653,0.04231,0.77769,0,0.00691,0,0.07389,0,0.00272,0,0,0,0
"sub_9002000001169770LL",0.01119,5.87934,0.08693,2.26617,4.90726,0,1.17742,13.41901,0.90851,0,0.08949,0,0.21055,0.00471,6.13148,0,0,0.09896,0
"sub_9002000001171133LL",0.0455,20.30472,0,6.65284,6.85624,0,2.50603,5.81023,2.32003,0,0.21699,0,0.44514,0,0,0,0.11937,0,0
"sub_9002000001171492LL",0,9.57869,0.23094,6.32021,2.42003,0,0.39461,5.49273,1.52711,0,0,0,0.15381,0,0.40652,0,0,0,0
"sub_9002000001172112LL",0.00507,5.27454,0.01031,3.28256,2.54522,0,1.85952,7.41328,0.28846,0,0.009,0,0.10505,0,0,0,0,0,0
"sub_9002000001172687LL",0.06207,3.10345,0,3.45552,0,0,5.18828,0.00986,0.20342,0.15729,0.02347,0,0.46953,0,8.85187,0.35517,0.00893,0,0
"sub_9002000001174215LL",0.09936,7.03202,0,2.92711,1.60801,0,2.31431,3.87962,2.00887,0,0.25466,0,0.01502,0,0,0,0,0,0
"sub_9002000001175080LL",0.00378,11.12966,0,10.91628,2.80879,0,5.23636,3.57223,1.95331,0,0.19095,0,0.18019,0,0,0,0,0,0
