"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"IBD_1",6.81155,5.292,0.84419,0.69868,0.21649,0.08742,0.06553,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_2",8.69524,0.57451,0.55341,0.81577,0.07516,0.16219,0.42911,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_3",13.55901,0,11.08387,0,0.0402,0,0.02371,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_4",11.28384,2.77595,9.18445,0.10543,0.02012,0.06502,0.38336,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_5",5.62735,0.38121,16.98493,0,0.06191,0,0.86452,0.01636,0,0,0,0,0,0,0,0,0,0,0
"IBD_6",13.08715,0.00133,29.68575,0,0.02663,0,0.02476,0.01808,0,0,0,0,0,0,0,0,0,0,0
"IBD_7",4.82684,0.02469,7.33397,0,0.23412,0,0.52688,0.19175,0.00095,0.00078,0,0,0,0,0,0,0,0,0
"IBD_8",12.56196,0.34909,12.07897,0,0.10677,0,0.22871,0.06259,0,0,0,0,0,0,0,0,0,0,0
"IBD_9",13.53409,0,22.17387,0,0.04964,0,0.00971,0.01234,0,0,0,0,0,0,0,0,0,0,0
"IBD_10",0.00123,0.65194,0,0.01282,0.01812,0.00876,0.05596,0.02567,0,0,0,0,0,0,0,0,0,0,0
"IBD_11",26.46909,2.74544,16.73874,0.03172,0,0.24496,0.02517,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_12",2.30213,3.15531,0,0.10442,0.11609,0,0,0.00069,0.20361,0,1.72139,0,0,0,0,0,0,0,0
"IBD_13",2.57022,14.81355,0,0.27121,0.25249,0.00349,0,0.00153,0.29424,0,0.8879,0.00034,0,0,0,0,0,0,0
"IBD_14",0.99493,9.92632,0,0.31441,0.45211,0.00129,0.08551,0,1.17102,0,1.39917,0.01091,0,0,0,0,0,0,0
"IBD_15",1.55392,5.66202,0,0.13289,0.24326,0,0,0,0.14188,0,0.23854,0,0,0,0,0,0,0,0
"IBD_16",0,2.85017,0,0.87238,0,0,0.69575,0.50157,1.02179,0,0,0.05515,0,0,0,0,0,0,0
"IBD_17",0.235,10.49334,0.40196,0.00768,0.23977,0.00258,2.26849,0.09382,0.06315,0,0.20503,0.03718,0.00066,0,0,0,0,0,0
"IBD_18",0,0.00778,0,0,0,0.00859,0,0,0.08061,0,0,0.15084,0,0,0,0,0,0,0
"IBD_19",0,1.04898,0.28121,0.12491,0.12371,0.05952,2.06911,0.69794,0,0.00067,0.02329,0,0,0,0,0,0,0,0
"IBD_20",0,0.03282,0,0.16763,0.01654,0.0307,0.0267,0.05114,0,0,5e-04,0,0,0,0,0,0,0,0
"IBD_21",0,0.21562,0.00977,0.20378,0.00366,0.10828,0.04545,0.03207,0,0,0,0,0,0,0,0,0,0,0
"IBD_22",0.00629,0.40135,0,0.57344,0.06432,0.01052,0.30001,0.19645,0,0,0.00236,0,0,0,0,0,0,0,0
"IBD_23",0.01874,6.93916,1.38483,0.07698,0.11989,0,0.14253,0.04346,0.13785,0,1.09167,0.04833,0.02244,0,0,0,0,0,0
"IBD_24",0.02306,8.80398,0.90649,0.11641,0.05558,0.00217,0.24716,0.10868,0.11257,0,1.09154,0.14026,0.01072,0,0,0,0,0,0
"IBD_25",0.04721,7.80199,0.44281,0.1722,0.51985,0,0.95922,0.03421,0.06462,0,0.41387,0.01628,0.01468,0,0,0,0,0,0
"IBD_26",2.32697,6.19741,0.21104,0.16781,0.21231,0.81501,0.00763,0.14711,0.01035,0,1.2591,1.73602,0.05739,0,0,0,0,0,0
"IBD_27",3.13076,15.88841,0.24348,0.04727,0.18469,0.03598,0.02124,0.051,0.04941,0,0.71186,0.09273,0.01835,0.07107,0,0,0,0,0
"IBD_28",1.98301,4.6286,0.07814,0.00849,0.02164,0.03547,0.01371,0.01858,0,0,1.23754,0.01773,0,0,0,0,0,0,0
"IBD_29",5.52256,1.78195,0.09573,0.03451,0.05479,0.04918,0.00336,0.0444,0.00399,0,0.66702,0.17452,0.01135,0,0,0,0,0,0
"IBD_30",0,0,0,0,0.67744,0,0,0,0,0,0,0,0,0.03814,0,0,0,0,0
"IBD_31",1.86248,5.66958,0,0,0.15696,0,0.39398,0.08908,0,0,0,0,0,0,0.07948,0.05657,0,0,0
"IBD_32",0.03407,0.26344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_33",4.54673,0.5492,2.23496,0.40013,0.17905,0.0044,0.20569,0,0.02014,0,0,0,0,0,0,0,0,0,0
"IBD_34",15.56611,0.46265,1.03927,0.21558,0.23587,0.13262,0.24865,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_35",7.18336,0,28.99885,0,0.06257,0,0.36277,0.03275,0,0,0,0,0,0,0,0,0,0,0
"IBD_36",12.53783,0,15.81588,0,0,0,0.03826,0.07732,0,0,0,0,0,0,0,0,0,0,0
"IBD_37",9.86898,0,12.17569,0,0.39701,0,0.08744,0,0,0.01173,0,0,0,0,0,0,0,0,0
"IBD_38",3.77383,0.25195,0.21996,0.44057,0.23777,0.20907,0.33437,0,0,0,0,0,0,0.03216,0,0,0,0,0
"IBD_39",0.00024,0.00556,0,0,0,0.00494,0,0,0.07842,0,0,0.0205,0,0,0,0,0,0,0
"IBD_40",0,0,0,0,0,0,0,0,0.32988,0,0,0.00052,0,0,0,0,0,0,0
"IBD_41",0,0,0,0,0,0.02181,0,0,0.04465,0,0,0.04477,0,0,0,0,0,0,0
"IBD_42",0.19525,0.65437,0.01951,2.66532,0.04903,0,0.04186,0.02321,0.00159,0,0.07575,0,0,0,0.12915,0.08974,0.04554,0.00534,0
"IBD_43",0,0.02141,0,9.15106,0,0,0,0,0,0,0,0,0,0.06889,0,0.0015,0.11102,0.01365,0
"IBD_44",0,0,0,6.87211,0,0,0,0,0,0,0,0,0,0,0.02972,0.06225,0.25725,0.0341,0
"IBD_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26381,0.07016,0
"IBD_46",15.16677,1.18422,5.59462,0.03164,0.02662,0.06305,0.0863,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_47",9.09234,5.93656,0,0.01086,0.00347,0.60114,0.00256,0.00922,0,0,0.15634,0,0,0,0,0,0,0,0
"IBD_48",2.5836,4.88345,0.13501,0.04652,0.0969,0,0,0,0.07439,0,0.25562,0,0,0,0,0,0,0,0
"IBD_49",0.39623,9.97042,1.78431,1.11532,2.95697,0,0,0,3.31893,0,1.16462,0,0,0,0,0,0,0,0
"IBD_50",0.08302,8.97826,0.55474,0.1037,0.31338,0,1.3529,0.17831,0.12627,0,0.65912,0.06271,0.00769,0,0,0,0,0.0011,0
"IBD_51",1.59158,4.04269,1.83595,2.70413,0.09067,0.00374,0.49747,0.39385,1.39717,0,0.73173,0,0.01691,0,0.03594,0,0,0,0
"IBD_52",7.982,3.3615,1.20795,0.63115,0.26478,0.37892,1.05965,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_53",2.04663,8.19038,2.49647,0.11837,0.22052,0.06914,0.32694,0.14747,0.60679,0,1.60932,0,0,0,0.03302,0,0,0,0
"IBD_54",0,1.61782,0,0.17821,0,0.0746,0.02973,0.0024,0,0,0,0,0,0,0,0,0,0,0
"IBD_55",0,0.56087,0,0.39166,0.08741,0.01491,0.15226,0.00217,0,0,0,0,0,0,0,0,0,0,0
"IBD_56",4e-04,1.20095,0,0.19402,0.01411,0.10895,0.04924,0.04036,0,0,0,0.00483,0,0,0,0,0,0,0
"IBD_57",0.67608,20.96861,0,0.4092,0.32519,0.00869,0.69775,0.38158,0.47069,0,0.4341,0,0,0,0.1581,0,0,0,0
"IBD_58",0.00134,2.56665,0,0.21853,0.00775,0.02885,0.23695,0.01945,0,0,0.00029,0,0,0,0,0,0,0,0
"IBD_59",0,0.20487,0,0.68935,0.18163,0.01315,0.62161,0.16775,0,0,0,0,0,0,0,0,0,0,0
"IBD_60",6.29753,6.19646,0,0.00219,0.01619,0.24305,0.00998,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_61",0.8301,8.23538,0,0.00576,0.04537,0.46717,0.01042,0.0644,0.01845,0,0.06512,0,0,0,0,0,0,0,0
"IBD_62",2.36744,9.31139,0,0.01468,0.01883,0.36201,0,0.0052,0.00829,0,0.08243,0,0,0,0,0,0.00298,0,0
"IBD_63",5.77719,4.14307,0,0.02626,0,0.3342,0,0,0.02883,0,0.40124,0,0,0,0,0,0,0,0
