"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"M0x10MCx1134",0.09769,4.30983,0.08576,1.51601,0.53996,0,0.65495,0.36745,1.10324,0,8.14016,0,0.03849,0,0,0,0,0,0
"M0x10MCx1140",0,8.5411,0.59184,3.35859,0.95969,0.06427,0.1768,1.76827,0.49625,0,0,0,0.37952,0,0,0,0.01704,0,0
"M0x10MCx1146",0.81508,7.99826,0,0.56597,0.39567,0.02199,0.71789,0.07988,0.00125,0,0.07012,0,0,0,0,0,0,0,0
"M0x10MCx1150",2.13914,6.47639,0.04491,0.43485,0.20637,0.00571,0.22709,0.09406,0.06133,0,0.0244,0.01879,0,0,0.30656,0,0,0,0
"M0x10MCx1162",1.53852,8.34204,3.04781,0.81303,0.33144,0.27966,0.15751,0.33871,0.1394,0,3.21293,0,0.10224,0,0,0,0,0,0
"M0x10MCx1171",0,5.33852,0.0146,0.28316,0.31476,0.00619,0.58821,1.55665,0.05994,0,0.12325,0,0.04619,0,0.54093,0,0,0,0
"M0x10MCx1176",0.16598,6.59373,0.00377,4.13243,0.42504,0.19796,0.72419,0.19966,0.18132,0,0.58427,0,0.1736,0,0,0,0,0,0
"M0x10MCx1206",2.7824,9.24612,0,0.48223,0.28663,0,0.46951,0.16019,0.22074,0,0.46018,0.00977,0.20059,0,0,0,0,0,0
"M0x10MCx1219",0.98528,1.10279,0.10049,0,0.94581,0,0.0058,0,0,0,0,0,0,0,2.85961,0.58442,0,0,0.03341
"M0x10MCx1225",1.52375,11.27951,0.15339,1.01802,0.07188,0.02784,0.7772,0,0.04464,0,0,0.01818,0.08617,0,0.65169,0,0,0,0
"M0x10MCx1254",0.43636,1.40378,0,0.73706,0.35654,0.01205,0.5305,0.4666,0.01601,0,0.00185,0,0.04694,0,0,0,0,0,0
"M0x10MCx1268",0,8.10138,0,0.32179,0.18372,0.006,0.0055,1.3485,0.04294,0,0.00322,0.02441,0.00463,0,0.1763,0,0.0212,0,0
"M0x10MCx1272",0.18307,0,0.00275,0.01169,0.07007,0,0.00225,0.23564,0,0,0.00138,0,0.00134,0.00174,0.23445,0,0,0,0.00331
"M0x10MCx1287",0.25609,3.31079,0,0.26218,0.21801,0.01198,0.07817,0.37471,0.02508,0,0.21333,0,0.02905,0,0.14533,0,0,0,0
"M0x10MCx1310",1.10633,6.70014,0.20149,0.09205,0.23851,0.03359,0.04034,1.00241,0.05528,0,0.503,0,0.04155,0,0.22916,0,0.01276,0,0
"M0x10MCx1315",0.41048,6.93513,0.03348,0.26822,0.54661,0,0.08268,0.56438,0.12364,0,0.10491,0,0.01409,0,0.53946,0,0,0,0
"M0x10MCx1343",5.7439,0,2.2579,0.54977,0.12092,0,1.22459,0,0.08734,0,0.17793,0,0.02959,0,0,0.02363,0,0,0
"M0x10MCx1350",0.17385,13.19115,0,0.35566,0.25467,0,1.38449,0.52908,0.00254,0,0.00497,0,0.09946,0,0,0,0,0,0
"M0x10MCx1388",0.56287,7.54403,1.80774,0.3439,0.44299,0.0485,0.02089,0.28721,0.17118,0,0.07349,0,0.02461,0,0.42845,0,0,0,0
"M0x10MCx1390",1.38841,3.99549,7.52669,0,0.20996,0,1.86266,0.56625,0,0,0,0.01517,0.0203,0,0,0,0,0,0
